"","522R","513R","521R","511R","512R","523R"
"522R",0,1,1,1,1,1
"513R",1,0,1,1,1,1
"521R",1,1,0,1,1,1
"511R",1,1,1,0,1,1
"512R",1,1,1,1,0,1
"523R",1,1,1,1,1,0
