,621R,622R,623R,611R,612R,613R
621R,NA,NA,NA,NA,NA,NA
622R,-0.390238007569681,NA,NA,NA,NA,NA
623R,-1.69569185494793,-1.10448402090991,NA,NA,NA,NA
611R,0.0566194686393434,0.327135888971433,-0.276103007975749,NA,NA,NA
612R,-1.13663997146441,-0.915044510834778,0.0543737345879689,-0.22576451729542,NA,NA
613R,-1.22083030569479,-0.637948198243652,0.860261389423863,-0.798233158470739,-1.21012302998106,NA
