"","512D","513D","521D","511D","522D","523D"
"512D",0,1,1,1,1,1
"513D",1,0,1,1,1,1
"521D",1,1,0,1,1,1
"511D",1,1,1,0,1,1
"522D",1,1,1,1,0,1
"523D",1,1,1,1,1,0
