"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"75175157a10c7fd5e6bc0e283da2dccd01a54578",2.94915794532871e-05,0.00444836413143536,7.7859729212584e-06,0.00076424960827378
"4ae7cd433419a3ae60cbbceadb41eab04d665ce1",0.000193584970614124,0.013644077325276,0.000172905771417514,0.00617996224770843
"fd2a1998ae3f386d0e155f615ce9b57826e2d437",4.66570508927219e-07,0.000391224318631606,4.5803517355291e-08,1.48403397698223e-05
"99b68a7dbaae3ab70b092190f91f24dcd9319085",1.10947310594142e-07,0.000172179567000505,6.8130390360708e-10,4.85560605749358e-07
"141a0a1452ac00be1858cc5af7f7a0b94b8d80b9",0.000995798311309988,0.048318746354324,0.000298157405783382,0.0126880326675447
"916f5d67394c3626987119d92dc757fd73968a68",0.000497447650937316,0.023717438511067,0.000223663765131622,0.00879674184478909
"8244d4ceb2fe7ad9b40098b0fb78fdddd773dc0a",2.65255460788438e-06,0.000571078656289421,6.03768681177698e-07,5.4301620558011e-05
"b8186d42bab3228e84591b0519e6e58641636aad",0.000122788699400964,0.0118550572120417,0.000181505267740788,0.00780472307771942
"11f45e73d6144cc89efde8de7bbf82f3ce215f1a",0.000447793418436763,0.0237021383743406,0.000133842981869266,0.0063277157187846
"28bdc0db39e2ad9a42020d76d1db769deb8d6158",0.000620621298966613,0.030071272017081,0.000483471394632893,0.0181383100803877
"58a832c35c738f97c3531049e8025ab462f7397b",0.000385264995704945,0.0201307495010323,0.000228262286834025,0.0082537320492346
"f79b923e7741c47703586c2f2cd46e3483afc55a",0.00069084970605112,0.0283656367615567,0.000471427843618412,0.01515397299926
"2a02fdbbe989e3512a206fdaf7366df4b69123ca",7.93326022035341e-05,0.0074236756609425,6.4065668179791e-05,0.0035269577992423
"b4ae08336ccf96af74347f34ac4ec3b866b008bb",8.74222426692206e-08,0.000151480070742875,6.97672998277854e-09,2.43829425933407e-06
"c424f78559e0de6e2e83fb2747bc117f5dd5b825",2.24505207315392e-05,0.00408703208978517,1.54106336137819e-07,3.83019558825647e-05
"f5856d4688115b5f1e0bce532faf65fe5db0b348",8.35614713033378e-06,0.00218941261032147,1.71532162827583e-05,0.000792118904228869
"9c909b123d7e5080b1b89c7221de775e616d4543",0.000497521286106242,0.0252197259523491,9.20859241172283e-05,0.00433217396352623
"c01b49bdc7319b42b0a9e76abb872adafd3acb7b",2.32276976251473e-06,0.000942452015729003,7.66390889198865e-05,0.00151318640670528
"b7154403eaad20de863bc725895678c80674b715",4.14967511588331e-06,0.0012333837136721,1.00288984578579e-06,0.000139241518573703
"684088a7e4bc838d0e02c9e4fd9d8f2318ff0a0f",3.75381239203194e-05,0.0052214726920043,9.92689062957824e-05,0.00409186733899919
"c1d33756899b5f262098af8c56e3a602ffc33953",2.69501089710047e-05,0.0037662647552905,8.65508200403532e-06,0.000755521553665345
"516705d51641518b1404bdc5ed41f6b1fb9fd50e",6.09643230587034e-05,0.00699268784298328,7.93037000026912e-05,0.00382796884210644
"cbd585a76928bf7a4ac6b53621de8a6d7446d103",0.000342128993816959,0.0226356036984731,0.000467743227052543,0.0169650988313537
"08cd13d5b3e81ad61281e56d8883c42619f9cba4",4.20615576178246e-05,0.00422817487925342,7.7496249636549e-06,0.00071347020062006
"c7a2aa4e99c0675779d4889350f80ce13857287a",0.00161325816151595,0.0489965124493325,0.000175204895737517,0.00784809552837279
"4cd37cf4a74892eb1b08aa908cefab3f35a42ca2",0.00116960245759141,0.0416743499223093,0.00268527608544892,0.0312767071255452
"b7bd36e55301494bb3345b6ce34aa28bbae89b85",1.46706179783151e-06,0.000743613187494835,5.46712022067305e-08,1.41995877872353e-05
"06b64b3373f1d7cd58faff80a335c7d8c0d37fc8",0.000134734693296797,0.0108056328207153,3.74685400496785e-05,0.00187005828267793
"ff27ed0e2e46d56f63c2fd720690666aa71b2133",0.000247702136581386,0.0150456174389738,2.56320931385271e-05,0.00162380680264368
"26f4071d1add3a49098c6a0911bd63d950f4a289",1.55795690982368e-05,0.00305151153517662,0.000142578494447379,0.00698829720043298
"4438b9df922a57b164e8c5e04d1024704f1de8e3",0.000444272482747248,0.0258241781307376,0.00394114546834587,0.0586265136973692
"294d0a83c02d04c1810355ff058b526ad4f7f991",5.48081424983232e-06,0.00162577229750312,3.51294310116421e-06,0.000378102666764339
"56083bcba55f02fba6450bff14386b54cc2503cd",0.000338404302576846,0.0197633053321285,0.0011748291686031,0.0221564685678718
"7a3201fc2d3cc7036b6ebde7ad18d046e1e2c59c",0.000121496322570151,0.0114087510475727,0.000297979328095848,0.010364057672876
"56d17db77d2312eec3fdec4784afbe0f0ffcca6c",1.06718089441542e-06,0.00053224638224451,1.04762335296807e-06,0.000109650996981244
"8def14a3ccccc2a10a9347f933dbd5542dafa833",1.45182240286542e-05,0.00254322515840518,3.24623993062647e-05,0.00203129514244281
"6dd0d399262d432a496e2e8096181f8954beaa65",0.00163640413296484,0.0444891251928405,0.00304252870136668,0.041831024658684
"bd298cfd0c0ab63c805748284c3b0b3d32ebd527",0.000176636397277542,0.0151232775040787,0.000660241894555112,0.0229791375385454
"f1bd0504513687c1ecf9c9db05009abe7a2021be",9.43306182262277e-06,0.00215357223376008,0.000408522751528669,0.00860304698208225
"7d921ea272766c262256599afc7dcd0600c7d072",9.58217713851016e-05,0.00934074195957477,0.000265941473175896,0.010036265154053
"96b3937922be1e16816841ecca49ad68fc872331",1.61291793068784e-05,0.00299806332753229,4.09865935050306e-06,0.000516876643078165
"71223265b36cf2a1f7734a76f9a0b4260990a0c5",0.00075912391978179,0.0391516697704788,0.000268672922318485,0.0130559020098166
"3152f0ec2f2783315bf4981e86276cb5585615e1",0.000236733526380106,0.014353655522941,0.000242552743595515,0.00916597527539787
"c1c603925f9b9e46c39930d1ab3f8144d01e4bc7",3.32722960636941e-09,2.30099268598983e-05,9.600037875489e-09,2.92920130976716e-06
"751edeccc196733753aca9b10d22895f4104b27b",6.13248875190693e-06,0.00149335952241404,6.55931188066285e-06,0.000612490591522945
"63054553b2515558e599d6ea5158bcdb04022e0d",0.00160736934463617,0.0467277589341262,0.00684704482693299,0.0568683318456906
"d797ebc89d7274fb4e55c7dbe475cd91232a9ab6",1.5017196709599e-05,0.00231112026701244,1.16948319637588e-05,0.000856723101646939
"03a313a18716a15a70aa4e865663f296dde1b82b",2.16064440112809e-08,5.98564375838461e-05,1.75893580469624e-07,2.79577567909442e-05
"d89148c39ad565bbf5babb1771e35b9e826fbd34",0.000442336796668949,0.0250530982351269,0.000244649889647635,0.0108514181597405
"6e75e07454a6259ee1acd10c3a0c29ca77aee2f0",7.40185519880645e-06,0.00194381196728297,3.86538485690225e-06,0.000317415419269511
"18c0376edc46a59616769a1f39a87c372c5af272",3.36157132491081e-06,0.00102781013987944,5.97158240539688e-05,0.00181615564353
"49cbe0cfbd90d4af358d9de93d74ef5ce55044f5",0.000129599503635376,0.0101894249912302,1.76811328795784e-05,0.00124095848636647
"c155a97d73cec657780a0c7422a2a46e1c1df049",5.10750778576132e-05,0.00675030782093078,1.52206434071583e-05,0.00140864945031143
"1210458ffbd20976a2caee5afb4e9506bb3d2e89",0.000170551121848858,0.0136077898071899,0.000934447885290212,0.0199608590422266
"23e53440258ab98f24639845bbaba5b943a61d39",1.31270892710353e-05,0.0021943854099675,0.000135972751438645,0.00366630704849609
"a890122e988060df16858e5dc69a27bdff2f7d74",1.26724616881384e-06,0.000662556290494784,1.83364419433646e-05,0.000885048784964018
"5a86f397e22ad440d793fa4113c4a8d54ce9d961",0.00032425712608484,0.0202562757842808,0.000516983581347797,0.0168432149548828
"7280455562e5875d27516ab25f98ba2d247e47c7",4.04097016645594e-05,0.00468294877018608,4.40426028192091e-05,0.00256800382887273
