,211D,212D,222D,223D,213D,221D
211D,NA,NA,NA,NA,NA,NA
212D,-0.903186185273745,NA,NA,NA,NA,NA
222D,-1.95749609491868,-1.60801965610418,NA,NA,NA,NA
223D,-1.00439328489766,-0.738383418203059,-0.724831166505664,NA,NA,NA
213D,-1.24011282377825,-0.876941236808777,-0.828865892690989,-0.404639203584089,NA,NA
221D,-1.10102699230615,-1.70844975751735,-0.915627616661804,-1.94061510920683,-0.732810188050538,NA
