"","x"
"1",-0.99
"2",-0.88
"3",1
"4",0.64
"5",1
"6",-0.99
"7",1
"8",-0.97
"9",1
"10",1
"11",0.6
"12",1
"13",-1
"14",1
"15",-0.64
