"","rab.all","rab.win.Dry","rab.win.Rainy","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"bff999e442d725d50682e60901a3bdb6f3b83630",4.15069993346226,5.34682540375716,2.93733639376212,-2.46857340008894,7.10403619941886,-0.304526178724607,0.354880696628701,0.0615358210799067,0.890411245541089,0.0429503661611677,0.843205466359807
"75175157a10c7fd5e6bc0e283da2dccd01a54578",4.18171986326053,2.56257829374315,5.03111704134992,2.54091583809189,7.07571217721202,0.351193473604655,0.337960957286646,0.0266930637608523,0.870438640437208,0.021248149457547,0.80334387783637
"7c53627870f332e3b80890a8e60079146babcaf2",6.8742047845373,6.09644235553935,7.63646852314204,1.83769684163317,4.39798222247902,0.396273401270496,0.328125003059699,0.00669911344904474,0.836822840628256,0.0123580283104363,0.781644004249737
"be5255f9fb42b64df755d7ac2a169e1da5073d48",6.97097680574509,6.52906163085719,7.22237425187719,0.919099402908177,2.72696690874726,0.302708420740677,0.355034724706789,0.0314402226624139,0.878811372162663,0.042757392667241,0.856390102953828
"38d5f5d692a2c2b7c14730526bbf22085684f87b",3.7997582468208,4.79944962253698,2.46552636265563,-2.30006971835449,6.05412887495087,-0.354928095977652,0.344034709868304,0.0290484887081871,0.86535755506427,0.0327010575466667,0.822323203968017
"4438b9df922a57b164e8c5e04d1024704f1de8e3",5.08341635652478,6.02645696300667,4.58962249887907,-1.32127657082042,3.35360898643597,-0.330648392596106,0.332031252972263,0.0630977204552826,0.891203617833441,0.020460244394453,0.794445114322528
"71223265b36cf2a1f7734a76f9a0b4260990a0c5",6.08286271286207,5.4432814274438,6.67867669318489,1.11722751603459,2.92925712843888,0.350671483240213,0.340997833577082,0.0630099029975094,0.888013992508299,0.0240764746259174,0.811380197261567
"2ed855c3c96ac960ec4daceea4ef4a424c19fd9a",1.3533024128335,2.3904673566786,0.47749333993537,-2.0277795129465,5.15488261675257,-0.359165815122016,0.309895836821964,0.0513691140293507,0.837370986505773,0.0279836431830037,0.688177720758805
"d593b0dc93733c1d9db7b15753d9ce5a0800b736",1.5840006190565,2.54872590164957,0.842926331917174,-1.87997549900382,5.1879332340665,-0.322680608842447,0.33622559940676,0.0740579057323249,0.868275058210536,0.0447734625119179,0.783969333337936
"dcadb941b3147b1412b2d191b48d21b346abd306",1.83026048355481,2.91255607692385,0.957497374983405,-2.30051834027221,5.11581621550994,-0.419786856100464,0.309461809054855,0.0503823090814963,0.827780596476673,0.0220191650423581,0.705303249816635
"e56e60c056e60e56ae3388100c45f11348454f28",4.59925170625924,3.82750680410098,5.50609690272424,1.48475332661142,3.94896491014368,0.315630047332805,0.338394796756659,0.112998735362888,0.906490347420885,0.025606147412175,0.815413809160872
"9ffc601c41fce0a4245149a9d674ee6d430aa246",2.67822093628846,3.56663157991495,1.8702224436728,-1.77577500061961,3.82621644626445,-0.410725331022592,0.292968753922562,0.0271045443628122,0.808604728299025,0.00668516218904926,0.621441429962568
"688ddc988b53bc1b97fd47d5b6f1d1b1e9896de0",4.3207456496894,3.64007323730901,5.15163834939347,1.6031209203971,3.81484408713425,0.35893728714114,0.323644254785998,0.0585036165300473,0.880910963381597,0.0132988450010034,0.762965552862478
"bc03ef23a878c7699d26dc1735c2f14b1c459d1f",1.40018247382216,2.26476591419936,0.588686636234805,-1.65121963829413,4.43568799583936,-0.339288323573511,0.334490241527143,0.078862596021513,0.860599382527451,0.044819523662692,0.755233054099007
"7fb9aa24f77a6a189ed7d0dcfce8bee7e23cd4b8",1.47865872999154,2.59142306865347,0.625764805617009,-2.00281485400307,4.17486425297748,-0.41016145594243,0.303385420317754,0.048637308590935,0.82367017322378,0.0152575598681959,0.655944289411467
"2d134c56d1dc331d6d4382b94831bb04933acee5",1.48052382814158,2.46545651424715,0.653117033516694,-1.76953789796667,4.23129214023792,-0.345838056997583,0.323210415316595,0.0940347727563296,0.841419829146125,0.0321867216466012,0.707439883016359
"8a4e1e6c4e15ddddb8573c06e753bbef5b47d72a",1.07295920004966,2.08859439169142,0.269540024422508,-1.89707928280943,4.22249499184115,-0.388047962335542,0.314099786463776,0.0687057899286025,0.82076011105937,0.0266429345382679,0.699239821709653
