"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36"
"OC",0.851027397260274,0.804609218436874,0.847619047619048,0.825938566552901,0.825371965544244,0.80343716433942,0.833460076045627,0.855302279484638,0.811732605729877,0.836510263929619,0.843465045592705,0.836693548387097,0.845967741935484,0.91871921182266,0.868065967016492,0.848871442590775,0.848196051735875,0.854395604395604,0.842963653308481,0.802160702228224,0.841530054644809,0.843046357615894,0.825107810253953,0.842529448233106,0.783922829581994,0.837735849056604,0.818368745716244,0.827830188679245,0.811881188118812,0.812829525483304,0.81893313298272,0.831670822942643,0.825192802056555,0.795228628230616,0.791179117911791,0.826844262295082
"OIM",0.878267363704257,0.831918505942275,0.85928338762215,0.856515373352855,0.839506172839506,0.836717428087986,0.850032743942371,0.848456501403181,0.828318584070797,0.837387074357193,0.849730458221024,0.864555848724714,0.876086956521739,0.921091445427729,0.876010781671159,0.859022556390977,0.866543665436654,0.867441860465116,0.861562258313998,0.818505338078292,0.854845719252499,0.848795180722892,0.830051369863014,0.863562533838657,0.803921568627451,0.858732876712329,0.841642228739003,0.835164835164835,0.830605564648118,0.827862289831865,0.841237113402062,0.846506300114548,0.843982169390788,0.81551724137931,0.799837266069976,0.836752899197145
"OISM",0.877777777777778,0.817220543806647,0.858407079646018,0.847480106100796,0.820630372492837,0.789392774788624,0.840046029919448,0.841025641025641,0.799673380511704,0.821794871794872,0.829268292682927,0.85176282051282,0.865946632782719,0.92442996742671,0.874336283185841,0.852693602693603,0.863117870722434,0.856244761106454,0.841974431818182,0.779966235227912,0.836591086786552,0.835570469798658,0.809617658651951,0.848670756646217,0.771805273833671,0.854719764011799,0.827659574468085,0.816265060240964,0.820143884892086,0.80551724137931,0.812736443883985,0.842767295597484,0.819618169848585,0.79595015576324,0.776152158010241,0.822169059011164
"OJIS",0.87395498392283,0.818991097922849,0.861111111111111,0.844736842105263,0.820717131474104,0.786910197869102,0.838193253287593,0.84325230511316,0.802455953016551,0.821292775665399,0.830456226880395,0.851030110935024,0.867462311557789,0.922330097087379,0.875438596491228,0.852649006622517,0.863320875600641,0.855301455301455,0.839802399435427,0.777034559643255,0.836236933797909,0.834437086092715,0.808835027365129,0.846969696969697,0.774209734069242,0.855167394468704,0.825994694960212,0.815737051792829,0.822064056939502,0.804186360567184,0.811083123425693,0.842159916926272,0.820012995451592,0.794891640866873,0.776734104046243,0.820836621941594
"OISS",0.888059701492537,0.824817518248175,0.905405405405405,0.8,0.845679012345679,0.763440860215054,0.86231884057971,0.892561983471074,0.78974358974359,0.804878048780488,0.904494382022472,0.866242038216561,0.897777777777778,0.931937172774869,0.917948717948718,0.813953488372093,0.825581395348837,0.85427135678392,0.852459016393443,0.861538461538462,0.818965517241379,0.886486486486487,0.870967741935484,0.817518248175182,0.796407185628742,0.879746835443038,0.845070422535211,0.822916666666667,0.774725274725275,0.824561403508772,0.82183908045977,0.829268292682927,0.823232323232323,0.742574257425743,0.75,0.847682119205298
"AC",0.9296875,0.864406779661017,0.875,0.827160493827161,0.827586206896552,0.853658536585366,0.905737704918033,0.926380368098159,0.8875,0.931451612903226,0.908695652173913,0.917647058823529,0.897959183673469,0.958762886597938,0.92910447761194,0.957575757575758,0.92,0.932773109243697,0.915294117647059,0.848,0.875,0.8715953307393,0.871604938271605,0.911877394636015,0.847560975609756,0.888888888888889,0.871186440677966,0.900662251655629,0.878378378378378,0.869158878504673,0.863157894736842,0.928,0.865921787709497,0.89237668161435,0.85531914893617,0.864130434782609
"AISM",0.8448,0.806,0.845417236662107,0.824242424242424,0.782193958664547,0.803757828810021,0.833333333333333,0.854748603351955,0.782668500687758,0.838235294117647,0.826086956521739,0.837837837837838,0.868715083798883,0.92755905511811,0.880851063829787,0.870229007633588,0.887359198998748,0.846438482886216,0.837860082304527,0.804449648711944,0.817843866171004,0.857642940490082,0.802304964539007,0.87256027554535,0.774939172749392,0.849557522123894,0.833333333333333,0.843478260869565,0.82807570977918,0.797364085667216,0.827697262479871,0.85378590078329,0.843065693430657,0.784530386740331,0.799657534246575,0.812121212121212
"AISC",0.928792569659443,0.864864864864865,0.882857142857143,0.880952380952381,0.816949152542373,0.819444444444444,0.91566265060241,0.929245283018868,0.843137254901961,0.918831168831169,0.901360544217687,0.909090909090909,0.89375,0.94672131147541,0.921875,0.938967136150235,0.911184210526316,0.913319238900634,0.898100172711572,0.857142857142857,0.858333333333333,0.864553314121037,0.878378378378378,0.910614525139665,0.810344827586207,0.884892086330935,0.871232876712329,0.901477832512315,0.877076411960133,0.866197183098592,0.87843137254902,0.91304347826087,0.868085106382979,0.868131868131868,0.845070422535211,0.851351351351351
"AJIS",0.851500789889415,0.804347826086957,0.845318860244233,0.827380952380952,0.782884310618067,0.802904564315353,0.829846582984658,0.861566484517304,0.77792732166891,0.839311334289814,0.8205499276411,0.835589941972921,0.871148459383754,0.923556942277691,0.873579545454545,0.872420262664165,0.88667496886675,0.842105263157895,0.834975369458128,0.801864801864802,0.816666666666667,0.852803738317757,0.798051372896369,0.87020316027088,0.775633293124246,0.853403141361257,0.829656862745098,0.840425531914894,0.827315541601256,0.792270531400966,0.829073482428115,0.856777493606138,0.839350180505415,0.785063752276867,0.799325463743676,0.815109343936382
