"","613D","621D","622D","623D","611D","612D"
"613D",0,1,1,1,1,1
"621D",1,0,0.98,1,1,1
"622D",1,0.98,0,1,1,1
"623D",1,1,1,0,1,1
"611D",1,1,1,1,0,1
"612D",1,1,1,1,1,0
