"","312D","313D","321D","322D","323D","311D"
"312D",0,1,1,1,1,1
"313D",1,0,1,1,1,1
"321D",1,1,0,1,1,1
"322D",1,1,1,0,1,1
"323D",1,1,1,1,0,1
"311D",1,1,1,1,1,0
