"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"5898bcf6960dca63966d7ad23fa9b9d0fd74a768",0.0206927598802446,0.534521468122724,0.0303981589977819,0.254402458496932
"75175157a10c7fd5e6bc0e283da2dccd01a54578",0.0134297829084019,0.516280496373831,0.0038548727606958,0.118959665938454
"4ae7cd433419a3ae60cbbceadb41eab04d665ce1",0.0122466602802096,0.505094274319002,0.00621565937584354,0.12380311012599
"fd2a1998ae3f386d0e155f615ce9b57826e2d437",0.000769870060600776,0.349504305299223,0.000472734126354672,0.0321315222522647
"99b68a7dbaae3ab70b092190f91f24dcd9319085",0.000633027541110707,0.324146248050703,1.82842731048688e-05,0.00443656602980973
"a4f2b1164483aef2ffa853aa9911a21e7a9992ee",0.0279147646639045,0.520389985935319,0.0438135732334373,0.255225709660424
"8244d4ceb2fe7ad9b40098b0fb78fdddd773dc0a",0.00139317034303918,0.349019798002968,0.000108805285810753,0.0135869848666681
"28bdc0db39e2ad9a42020d76d1db769deb8d6158",0.0012386473138338,0.339627352421884,0.000315734608361315,0.0167609451920609
"f79b923e7741c47703586c2f2cd46e3483afc55a",0.0025772167514414,0.395749767020958,0.000202538308585177,0.0173744264045995
"2a02fdbbe989e3512a206fdaf7366df4b69123ca",0.0464359335226615,0.589510619425718,0.0445823409294552,0.288559100823972
"b4ae08336ccf96af74347f34ac4ec3b866b008bb",0.00017798160833611,0.256423023578753,0.000185181235698714,0.00451853563715991
"c424f78559e0de6e2e83fb2747bc117f5dd5b825",0.00950033154909195,0.489531833692034,0.000490594358844096,0.0251562624156537
"f5856d4688115b5f1e0bce532faf65fe5db0b348",0.00172818753816734,0.391328095615756,7.41846171125763e-05,0.0144268588474685
"c01b49bdc7319b42b0a9e76abb872adafd3acb7b",0.00311371438511857,0.414824912628214,7.08309345620863e-05,0.0102195923012052
"b7154403eaad20de863bc725895678c80674b715",0.00954371945300437,0.482396600105194,0.0064237497672814,0.105939340937161
"b89ad2573dad071a7cee3259eae61ec71952de0a",0.0406466134991992,0.578954801882557,0.0148881774516114,0.184333937873725
"0e0a42841b8d0780bb647c9c5823b8d16ffec4f4",0.0118722521905707,0.508292913333229,0.00237887439185727,0.0941452116841271
"684088a7e4bc838d0e02c9e4fd9d8f2318ff0a0f",0.0105604291986659,0.500214551147856,0.0127235435762541,0.168970966765786
"c1d33756899b5f262098af8c56e3a602ffc33953",0.0240723299187135,0.538466051865111,0.00531196869983751,0.115444664688987
"516705d51641518b1404bdc5ed41f6b1fb9fd50e",0.00120608049797648,0.366806466490658,0.000779898729247383,0.0396316661948139
"cbd585a76928bf7a4ac6b53621de8a6d7446d103",0.00291694446957524,0.420121348405332,0.00037995375340325,0.038779399675549
"08cd13d5b3e81ad61281e56d8883c42619f9cba4",0.0149889787975428,0.485470085929441,0.00481022492816051,0.076760483725386
"b7bd36e55301494bb3345b6ce34aa28bbae89b85",0.00198800210637908,0.398133794981471,0.000258572051574579,0.0219785623540229
"5ecb720a9099d631c0d66685819ca3a64dfb93c3",0.0260422969875488,0.516773990826224,0.0347140234938616,0.222473318811777
"82eb87f908e447ffe36850f8bd49c2fdf84b61fd",0.0215681998917239,0.527811575850002,0.00921580349936489,0.139995669230098
"26f4071d1add3a49098c6a0911bd63d950f4a289",0.00808842002418872,0.483949340372403,0.014831185303676,0.210448981817991
"294d0a83c02d04c1810355ff058b526ad4f7f991",0.00607854618071992,0.461618399921937,0.00601059984291418,0.104657715907077
"7a3201fc2d3cc7036b6ebde7ad18d046e1e2c59c",0.0357547030662132,0.590091371936552,0.0266326428776226,0.268678889530506
"56d17db77d2312eec3fdec4784afbe0f0ffcca6c",0.00018995090706362,0.256717887547877,9.74298591964889e-05,0.00679338881816743
