#OTUID	111D	111R	112D	112R	113D	113R	121D	121R	122D	122R	123D	123R	211D	211R	212D	212R	213D	213R	221D	221R	222D	222R	223D	223R	311D	311R	312D	312R	313D	313R	321D	321R	322D	322R	323D	323R	411D	411R	412D	412R	413D	413R	421D	421R	422D	422R	423D	423R	511D	511R	512D	512R	513D	513R	521D	521R	522D	522R	523D	523R	611D	611R	612D	612R	613D	613R	621D	621R	622D	622R	623D	623R
ae04d897688a129e69a9b79d2745c310;size=3295;	0	0	0	0	0	0	0	0	0	3	0	0	645	0	156	6	1992	161	6	100	0	1	0	206	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
cc596abb5f1eb867f42672edb14d2661;size=3252;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	47	0	0	8	8	134	19	110	3	182	0	0	388	0	2	8	100	71	627	10	3	167	9	0	6	32	72	0	0	0	0	82	283	0	877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b415af824b0f879e374ce55064091e23;size=3148;	6	1	333	0	0	0	129	6	1	2	51	623	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	22	0	2	0	0	0	0	3	1	3	660	0	60	229	0	630	25	109	95	58	51
713938020211715e8b49e4cdb6e14f8d;size=3090;	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	34	6	0	0	0	29	62	0	0	0	4	25	309	2	5	0	0	28	0	427	0	849	0	227	0	22	34	107	0	42	0	71	399	0	0	114	0	13	0	208	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8a248dcd730191d22cb5799faea0737b;size=3088;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3074	0	2	0	10	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49349458e2c232b4e7790cbae535b5f1;size=3074;	36	9	0	0	9	0	0	0	0	0	0	0	0	76	10	0	0	0	0	85	217	0	0	197	139	214	0	81	20	0	91	9	8	0	246	15	20	58	75	0	102	235	9	166	173	230	13	315	22	0	0	0	38	0	0	1	0	112	0	0	2	0	0	0	0	0	0	24	17	0	0	0
4c85585e9e1e6cf7e4dfb32226f55918;size=3042;	11	12	0	21	46	10	0	9	6	25	0	35	9	99	0	24	12	36	0	46	95	2	16	73	71	133	2	112	107	54	18	3	13	7	553	25	278	25	83	62	41	225	56	17	80	177	19	5	56	59	14	6	3	0	8	6	28	4	0	0	0	0	4	0	0	31	2	62	0	6	0	0
c7dd80cb4d96108a774e2d34414a81c6;size=2903;	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	0	4	0	1939	2	529	55	0	0	5	0	318	0	39	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4f3c97131ec0fcc15c1a642f1142378f;size=2802;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	625	0	0	0	0	6	0	29	18	0	0	0	1649	0	313	0	0	0	127	0	35	0	0
e4ce5568ac6fb0333a17949d45ec1437;size=2786;	23	20	38	45	8	25	7	8	7	116	16	53	3	249	0	4	7	9	10	11	26	14	3	16	78	23	0	10	65	8	2	0	0	0	67	26	93	95	0	17	75	25	10	17	47	20	0	30	92	82	16	53	26	18	7	0	35	138	21	10	17	140	89	30	62	213	10	148	23	51	18	61
0d9e734566df83a9ece2c6b87a5f4d43;size=2718;	0	0	0	0	0	0	0	0	0	0	0	0	9	0	25	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7	0	44	0	42	27	18	0	92	0	30	0	83	0	2326	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c4442194f6a25a547678858e2b32d1f4;size=2664;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	2	0	9	0	30	15	28	1279	953	0	0	0	54	0	0	0	0	97	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c5a5da4ac2ebc2ed51861487969737e5;size=2626;	1268	0	0	291	4	377	21	64	0	282	6	0	5	0	5	0	0	0	0	7	0	1	0	2	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	3	0	28	0	0	0	0	0	0	12	65	33
7e781539bb10b5f8af02de57bd7d308f;size=2623;	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	5	410	0	187	0	0	0	0	4	0	1200	3	162	8	129	288	19	0	14	0	12	0	13	0	0	0	4	0	2	0	0	0	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
396af817ea618f54c17a61d1d49f4d1d;size=2584;	0	0	0	0	0	0	0	0	0	0	0	0	9	6	0	0	7	0	0	0	156	17	0	0	4	161	352	59	0	0	17	0	10	0	94	0	1243	0	19	2	12	0	23	158	46	27	144	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b2dd1c40b823af719b9c58ad3f8ca4ca;size=2571;	30	46	1	12	66	21	4	12	34	88	13	10	38	88	26	12	23	80	5	27	67	15	8	58	27	33	13	8	22	26	15	10	12	28	80	14	164	30	48	59	49	95	116	23	285	112	99	33	37	28	10	8	44	28	17	17	1	56	19	4	3	14	4	0	27	17	5	17	3	12	2	13
8f003093f40113cd3e78011f0fec7d0c;size=2533;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2241	0	239	0	1	0	5	0	42	0	2
60474c853cc92f027cb8bd20cc99bf8d;size=2489;	340	12	267	554	24	24	6	110	12	83	86	399	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	11	0	0	0	0	0	3	0	0	0	536	5	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	2	0	0	0
190e54426d2a490a8ecd2466bdd48f60;size=2455;	18	43	4	13	55	16	1	15	0	40	51	6	37	134	14	34	21	107	2	56	24	20	14	75	8	74	6	26	28	34	11	0	12	5	200	20	138	55	86	111	47	333	13	21	212	93	44	14	0	1	3	0	21	6	0	5	5	5	13	1	0	0	0	0	0	0	0	0	0	0	4	0
fd973061a6e0369db5cd3ec8f7d26daa;size=2399;	42	0	45	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	293	0	705	0	4	0	24	0	3	0	0	0	0	38	6	0	27	14	9	1	8	0	31	193	0	0	330	351	8	2	0	43	21	1	25	15	0	48	0	56	8	45	0	0	0	0	0	0	0	0	0	0	0	0
91e3cf9a1863c33571fcc13fb0111598;size=2346;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2299	0	4	0	15	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
068842e5c7d8017328a1d7a4aa3f8d4a;size=2339;	0	0	0	7	21	26	20	29	29	436	12	14	0	17	0	0	0	0	0	16	5	0	0	0	0	86	0	10	180	13	14	9	3	0	311	28	544	26	61	88	44	222	24	0	29	0	9	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
e6e38e6fddc93cdf7ee0fc9688c9373a;size=2321;	0	507	7	50	406	11	0	60	37	0	30	73	15	13	0	23	0	0	0	0	10	57	0	0	0	5	0	3	0	10	0	0	4	0	89	0	45	83	3	61	49	33	0	0	5	0	4	0	19	4	17	75	53	15	3	6	0	81	62	8	0	0	0	3	5	2	25	54	14	56	39	87
1491199c134759f403a82d349fcf819a;size=2200;	29	39	7	14	53	57	5	4	14	47	21	22	32	49	11	19	16	74	6	29	50	17	10	18	41	45	33	6	49	20	75	8	17	16	115	20	122	44	20	25	45	95	34	23	44	38	11	16	17	29	15	8	109	53	11	17	12	99	43	17	4	31	6	0	21	8	4	16	7	31	3	34
7296dee891891cff5f62c0bdefb0a8ab;size=2191;	0	0	0	0	0	2	0	0	0	1	0	0	0	30	0	9	15	399	0	3	1	21	0	0	1	1	167	0	1	0	0	50	3	0	3	24	0	0	3	0	67	726	4	0	53	1	0	0	0	2	0	3	0	5	0	3	29	424	32	0	0	0	0	0	0	2	0	60	39	0	0	7
96406f117b774197ab9d3803ee076db7;size=2188;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	3	0	0	230	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	142	3	0	1534	0	0	22	0	0	0	0	0	0	2	1	0	0	0	0	0	49	0	191	0	0
59f5c4895a975fcf8f752041237c858c;size=2135;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1961	0	48	0	26	0	26	0	31	0	25	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3671783771f066fc4c5d599a5673ddd;size=2116;	0	0	0	0	0	0	0	0	0	1	0	0	0	34	0	169	0	0	0	0	774	0	0	0	0	0	4	0	25	287	0	0	0	0	9	0	8	7	191	0	0	0	0	0	7	221	3	375	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6a2b9c1f87006257143f0260c5559f44;size=2106;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1002	0	0	0	0	0	0	0	0	0	0	0	16	0	61	13	0	395	0	5	10	0	68	0	5	203	0	0	4	0	6	2	0	15	40	0	0	0	26	0	0	164	0	0	0	0	0	0	0	0	69	0	0	0	0	2
26b5b77953570f895e20a5d213671058;size=2103;	0	0	0	0	106	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	46	0	112	1	27	0	0	0	0	22	0	0	19	38	22	234	85	0	588	0	10	25	22	0	7	97	6	0	76	0	157	11	0	0	0	143	200	39	6	0	0	0	0	0	0	0	0	0	0	0
fd9e6eef83e6695bfa632009e50fada7;size=2091;	232	2	81	429	0	659	7	0	0	484	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	144	0	0	0	0	0	1	0	0	0	0	0	14	0	3	0	0	6	0	13
77976ffdad375c234dfbe64b30f80607;size=2080;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	14	6	0	257	0	440	0	2	0	0	0	0	0	48	0	23	0	26	0	0	1248	0	0	0	0	0	0	0	0	0	0	0	1	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9dd0f3726a88f80dfc91bb12a0b89d8d;size=2077;	0	27	0	0	22	0	0	0	0	5	3	5	16	251	21	25	0	18	9	20	82	28	8	103	24	56	20	3	17	0	57	5	6	17	156	32	140	61	27	64	94	9	11	19	192	22	19	6	19	49	9	44	23	13	4	2	27	15	8	0	3	7	28	0	0	49	2	10	31	26	6	2
df8d113b7142fd9d5f405feaeb850f87;size=2009;	0	0	0	0	33	0	0	0	0	4	0	0	0	1407	0	0	0	17	0	0	102	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	6	0	0	3	0	0	0	4	6	20	290	0	0	0	0	0	1	0	0	0	0	33	0	61	0	0	0	0	0	0	0	0	0	0	0	0
624ba210dfbeada28a9b75060ab553a8;size=2000;	9	0	333	0	0	20	1	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	485	0	363	0	0	26	0	22	0	0	3	5	0	11	0	215	0	12	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	4	0	0	0	0	0	96	3	344
df257716d1b04a956248ebf36379fe4b;size=1977;	0	0	0	0	0	0	15	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	358	0	0	0	0	0	7	0	0	0	0	0	14	0	778	0	725	0	0	0	2
e16fc822b1f5cdf67f055f3fd877f240;size=1941;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	0	0	66	0	0	532	0	0	22	0	0	109	1	1089	0	18	0	20	0	13	0	23	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
