"","OC","OIM","OISM","OJIS","OISS","AC","AISM","AISC","AJIS"
"min",2146,2152,2175,2220,147,896,2096,1091,2134
"max",38754,39694,39841,40542,6615,17627,39872,26595,40613
"mean",11206.25,11435.2083333333,11506.3888888889,11746.0277777778,1671.05555555556,5906.75,11476.6805555556,6593.04166666667,11723.9722222222
"median",8903.5,9065.5,9113.5,9305,1266.5,4661.5,9273,5003,9473
