"","621R","622R","623R","611R","612R","613R"
"621R",0,1,1,1,1,1
"622R",1,0,1,1,1,1
"623R",1,1,0,1,1,1
"611R",1,1,1,0,-1,1
"612R",1,1,1,-1,0,1
"613R",1,1,1,1,1,0
