,122R,123R,111R,121R,112R,113R
122R,NA,NA,NA,NA,NA,NA
123R,-0.985532291120154,NA,NA,NA,NA,NA
111R,-0.672624487138635,-0.309921498842627,NA,NA,NA,NA
121R,-0.355883117924074,0.344125702071224,0.0849639089715237,NA,NA,NA
112R,-0.705777565622314,0.762553284351661,2.19104939447687,1.21361219202571,NA,NA
113R,-0.500823143455969,1.43445709376567,2.26889022998921,-0.460451288423321,0.948501736464384,NA
