,311R,313R,312R,322R,323R,321R
311R,NA,NA,NA,NA,NA,NA
313R,-0.354525641409099,NA,NA,NA,NA,NA
312R,-0.339406756312432,-0.150559972985914,NA,NA,NA,NA
322R,-0.110724172829938,0.529634874516257,1.09972496617905,NA,NA,NA
323R,0.0888296538134726,1.05962330273443,1.31684756101511,-1.31073848306715,NA,NA
321R,-0.0865753296822222,0.327972606751224,0.197516555517729,-1.1171734358301,-1.20605419132356,NA
