,512D,513D,521D,511D,522D,523D
512D,NA,NA,NA,NA,NA,NA
513D,-0.519594917663247,NA,NA,NA,NA,NA
521D,-1.88988889215821,-0.241972205627369,NA,NA,NA,NA
511D,0.615074250429825,1.16799453435069,-0.344413215482295,NA,NA,NA
522D,0.548424967632242,-1.07141406015104,-1.12056246785415,0.091852921109962,NA,NA
523D,-0.162901744079826,-0.240576648157039,-0.486826114062178,0.369931041774936,-0.280771138573914,NA
