,411R,421R,422R,423R,413R,412R
411R,NA,NA,NA,NA,NA,NA
421R,-1.70622205550426,NA,NA,NA,NA,NA
422R,-0.5840894208813,-0.720546815238164,NA,NA,NA,NA
423R,-2.06118139829994,-2.27728316009229,-1.89534669077549,NA,NA,NA
413R,-1.46368103373815,-1.2004336399048,-0.47405950614649,-1.43076530732094,NA,NA
412R,-1.17083962752947,-1.16116658038805,-0.828835488437542,-1.42015810120114,-1.25497582386488,NA
