"","311R","313R","312R","322R","323R","321R"
"311R",0,1,0.94,1,1,1
"313R",1,0,0.99,1,1,1
"312R",0.94,0.99,0,1,1,1
"322R",1,1,1,0,1,1
"323R",1,1,1,1,0,1
"321R",1,1,1,1,1,0
