"","121D","122D","113D","123D","111D","112D"
"121D",0,0.99,1,1,1,1
"122D",0.99,0,1,1,1,1
"113D",1,1,0,1,1,1
"123D",1,1,1,0,1,1
"111D",1,1,1,1,0,1
"112D",1,1,1,1,1,0
