,522R,513R,521R,511R,512R,523R
522R,NA,NA,NA,NA,NA,NA
513R,-1.12048746164546,NA,NA,NA,NA,NA
521R,-1.25040969811375,0.295446141689502,NA,NA,NA,NA
511R,-1.1041292427222,-0.0715751681432559,-0.156750190634823,NA,NA,NA
512R,-1.99528973358967,-0.843453224195274,-0.543247561623711,-0.178899012546336,NA,NA
523R,-1.82604068069899,-1.3771699917343,-1.09231574087037,-1.43975061358759,-1.58289041789011,NA
