,312D,313D,321D,322D,323D,311D
312D,NA,NA,NA,NA,NA,NA
313D,0.452599837062673,NA,NA,NA,NA,NA
321D,-0.313285522344045,-0.0720450299321988,NA,NA,NA,NA
322D,0.754268057862488,-1.67987286251051,-0.803965977162967,NA,NA,NA
323D,1.32915989983038,-0.770321127789033,0.344305849668365,-1.32188738831655,NA,NA
311D,0.0291413435361797,-0.949037378572119,-0.364717743421227,-1.07249983576803,-0.884342072356043,NA
