#OTUID	111D	111R	112D	112R	113D	113R	121D	121R	122D	122R	123D	123R	211D	211R	212D	212R	213D	213R	221D	221R	222D	222R	223D	223R	311D	311R	312D	312R	313D	313R	321D	321R	322D	322R	323D	323R	411D	411R	412D	412R	413D	413R	421D	421R	422D	422R	423D	423R	511D	511R	512D	512R	513D	513R	521D	521R	522D	522R	523D	523R	611D	611R	612D	612R	613D	613R	621D	621R	622D	622R	623D	623R
1c80da9094953049536d01c8f2ff0053;size=2124;	0	0	0	0	0	0	56	0	57	1263	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	5	0	1	0	265	0	60	3	0	202	20	136	0	8	0	0
9fdf1654441c155c5cd5f255d74850de;size=1991;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
04ddb82ab92d670dddc63ded23509239;size=1981;	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	16	6	0	0	0	21	36	0	0	0	3	19	204	0	3	0	0	18	0	262	0	534	0	141	0	12	23	66	0	23	0	46	275	0	0	79	0	8	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
599c64ca13368cb2baf4a2bf4478b3bf;size=1964;	12	8	0	11	36	5	0	0	3	26	0	20	5	75	0	0	6	17	0	26	66	0	10	40	43	89	0	73	82	29	15	0	14	8	371	14	163	11	42	44	24	162	34	8	50	133	13	0	39	36	11	7	0	0	0	0	17	0	0	0	0	0	0	0	0	18	4	40	0	4	0	0
451e1e3f5fba184476baa2596ec5cf4a;size=1884;	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	5	0	0	0	115	12	0	0	0	118	266	48	0	0	15	0	10	0	64	0	879	0	12	0	0	0	16	158	32	17	95	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91df6a472d6063884169517093a2b0aa;size=1882;	0	0	0	0	0	0	0	0	0	0	0	1872	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7e29ace4ef684997abfc35480c8d21e4;size=1858;	33	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	560	0	0	0	21	0	0	0	34	0	0	29	0	0	21	0	0	0	0	7	22	167	0	0	265	286	0	2	0	33	16	0	20	10	0	0	0	25	0	33	0	0	0	0	0	0	0	0	0	0	0	0
d8443268c684f11ebf05eadd070ef289;size=1798;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	188	0	310	0	0	0	0	0	0	0	45	0	14	0	13	0	599	620	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0345714986e51bae5a2a4b3a976188c8;size=1778;	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	138	0	0	0	0	676	0	0	0	0	0	0	0	24	239	0	0	0	0	8	0	7	0	159	0	0	0	0	0	6	180	3	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47e8ce7f6fcbfcee0b6e309fcc495261;size=1738;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1547	0	162	0	0	0	4	0	25	0	0
7642219ac3ac13a22c1eabd16cec9cc9;size=1672;	18	15	28	25	0	22	0	0	7	65	0	41	2	153	0	0	6	7	0	0	0	13	0	10	46	0	0	7	49	5	0	0	0	0	39	11	52	67	0	15	53	21	9	14	34	13	0	22	52	42	10	34	19	15	0	0	23	86	17	9	12	74	55	0	38	112	7	84	19	37	16	42
c298da7343e4fba3b96a9ffc2534bfe3;size=1653;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a1ddd0ce3a95c625bb6a36cec2f905bf;size=1636;	227	0	195	351	19	0	0	77	9	59	57	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	2	0	0	0
e03da7af951042c072f00d9ccab1e378;size=1636;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	1207	0	0	17	0	0	0	0	0	0	2	0	0	0	0	0	0	0	8	160	0	0
ed9cfb6ad5dd170eb84dd5e3302f1028;size=1544;	0	0	0	0	0	0	11	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	283	0	0	0	0	0	0	0	0	0	0	0	12	0	594	0	560	0	0	0	0
00ff4250c67c0f56fb0e2bae3d84e789;size=1541;	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	92	1	24	0	0	0	0	20	0	0	0	32	0	174	54	0	288	0	9	24	17	0	0	42	5	0	97	0	147	10	0	0	0	210	129	31	7	0	0	0	0	0	0	0	0	0	0	0
3028475a1e4a5450fd905683687cb169;size=1520;	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	251	0	158	0	0	0	0	0	0	730	0	134	5	55	0	17	0	12	0	10	0	11	0	0	0	4	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29a471af3bd48c6ed55cf52e53532673;size=1515;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	432	0	0	14	0	0	79	0	847	0	14	0	12	0	10	0	21	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
de9c1691c8779aca02c625787c307dd9;size=1486;	0	750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
