,411D,412D,413D,421D,422D,423D
411D,NA,NA,NA,NA,NA,NA
412D,-1.86749579121138,NA,NA,NA,NA,NA
413D,-0.481379506987848,-1.33795800862589,NA,NA,NA,NA
421D,-1.11792274975384,0.0390008560870325,0.432792963417698,NA,NA,NA
422D,-1.12075350687117,-0.663145073148381,-0.440477106315088,-0.763905656581291,NA,NA
423D,-0.522406474763043,-1.61714519027464,-1.07679687812277,-0.687569442139678,-0.142070189725514,NA
