,613D,621D,622D,623D,611D,612D
613D,NA,NA,NA,NA,NA,NA
621D,0.0998976013058259,NA,NA,NA,NA,NA
622D,-0.316699472762079,-0.0582062453828503,NA,NA,NA,NA
623D,1.29880473808883,-1.36613464374836,0.32496769919315,NA,NA,NA
611D,-1.46876374219755,-0.893709131870788,-0.751095029326271,-1.32658890019591,NA,NA
612D,-0.653235339747794,-0.739179242660159,-1.18090658224806,-0.677251036127888,-1.45946264611293,NA
