"","211R","212R","213R","221R","222R","223R"
"211R",0,1,1,1,1,1
"212R",1,0,1,1,1,1
"213R",1,1,0,1,1,1
"221R",1,1,1,0,1,1
"222R",1,1,1,1,0,1
"223R",1,1,1,1,1,0
