"","411R","421R","422R","423R","413R","412R"
"411R",0,1,1,1,1,1
"421R",1,0,1,1,1,1
"422R",1,1,0,1,1,1
"423R",1,1,1,0,1,1
"413R",1,1,1,1,0,1
"412R",1,1,1,1,1,0
