"","411D","412D","413D","421D","422D","423D"
"411D",0,1,1,1,1,1
"412D",1,0,1,1,1,1
"413D",1,1,0,1,1,1
"421D",1,1,1,0,1,1
"422D",1,1,1,1,0,1
"423D",1,1,1,1,1,0
