#OTU ID	111D	111R	112D	112R	113D	113R	121D	121R	122D	122R	123D	123R	211D	211R	212D	212R	213D	213R	221D	221R	222D	222R	223D	223R	311D	311R	312D	312R	313D	313R	321D	321R	322D	322R	323D	323R	411D	411R	412D	412R	413D	413R	421D	421R	422D	422R	423D	423R	511D	511R	512D	512R	513D	513R	521D	521R	522D	522R	523D	523R	611D	611R	612D	612R	613D	613R	621D	621R	622D	622R	623D	623R	taxonomy
05951bcaa6064904eb1333ee6761b8c4dfe142c4	0.0	1823.0	0.0	0.0	1057.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	37.0	0.0	49.0	0.0	1234.0	0.0	33.0	0.0	41.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Cortinariaceae; g__Cortinarius; s__Cortinarius_sp; sh__SH2052347.09FU
88bf2bd8f109bd01b96bcbf9d5c2b80d64d7ccd7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4221.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	4.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Cortinariaceae; g__Cortinarius; s__Cortinarius_nigrellus; sh__SH2051287.09FU
c7c6fd1422977a04ad6a31a7f99d81eb05a94fa2	0.0	1990.0	0.0	0.0	1881.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	144.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	0.0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Tricholomataceae; g__Tricholoma; s__Tricholoma_equestre; sh__SH1847739.09FU
a4f2b1164483aef2ffa853aa9911a21e7a9992ee	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	3885.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Thelephorales; f__Bankeraceae; g__Hydnellum; s__Hydnellum_concrescens; sh__SH1762795.09FU
11f45e73d6144cc89efde8de7bbf82f3ce215f1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	408.0	78.0	0.0	37.0	160.0	0.0	62.0	0.0	0.0	96.0	0.0	0.0	0.0	582.0	0.0	0.0	133.0	0.0	0.0	0.0	58.0	0.0	639.0	0.0	735.0	0.0	147.0	0.0	177.0	0.0	143.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	169.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Russula; s__Russula_sp; sh__SH1928099.09FU
141a0a1452ac00be1858cc5af7f7a0b94b8d80b9	0.0	19.0	0.0	24.0	77.0	12.0	0.0	0.0	0.0	29.0	0.0	37.0	10.0	125.0	0.0	61.0	15.0	39.0	0.0	57.0	111.0	0.0	26.0	96.0	83.0	178.0	0.0	135.0	136.0	77.0	18.0	0.0	44.0	0.0	617.0	32.0	316.0	30.0	93.0	87.0	44.0	282.0	71.0	24.0	92.0	192.0	21.0	0.0	69.0	63.0	17.0	11.0	0.0	0.0	10.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	8.0	68.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Hyaloscyphaceae
916f5d67394c3626987119d92dc757fd73968a68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	167.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	9.0	11.0	273.0	53.0	0.0	68.0	0.0	57.0	10.0	2391.0	0.0	61.0	0.0	134.0	0.0	207.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Amanitaceae; g__Amanita; s__Amanita_sp; sh__SH1687895.09FU
8244d4ceb2fe7ad9b40098b0fb78fdddd773dc0a	8.0	0.0	346.0	0.0	0.0	0.0	150.0	6.0	0.0	0.0	67.0	685.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	732.0	0.0	77.0	248.0	0.0	653.0	0.0	142.0	123.0	65.0	87.0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Atheliales; f__Pilodermataceae; g__Piloderma; s__Piloderma_sp; sh__SH1455793.09FU
b9ec1a3ff97352562ca2a98c5c609dcda32466e4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3290.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Tricholomataceae; g__Tricholoma; s__Tricholoma_sp; sh__SH1847667.09FU
f5856d4688115b5f1e0bce532faf65fe5db0b348	40.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.0	22.0	0.0	0.0	0.0	0.0	87.0	293.0	0.0	0.0	208.0	143.0	222.0	0.0	84.0	32.0	0.0	95.0	0.0	17.0	0.0	259.0	17.0	59.0	62.0	77.0	0.0	115.0	281.0	0.0	175.0	209.0	244.0	16.0	334.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	116.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Russula; s__Russula_sp; sh__SH1860812.09FU
2a02fdbbe989e3512a206fdaf7366df4b69123ca	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	48.0	0.0	0.0	8.0	0.0	137.0	27.0	116.0	0.0	187.0	0.0	0.0	404.0	0.0	0.0	0.0	120.0	73.0	682.0	11.0	4.0	177.0	9.0	0.0	7.0	47.0	75.0	0.0	0.0	0.0	0.0	87.0	289.0	0.0	791.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Russula; s__Russula_sp
49dc80ce6a8c1359e3b7190591088274266b71ff	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3216.0	0.0	0.0	0.0	10.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Atheliales; f__Atheliales_fam_Incertae_sedis; g__Atheliales_gen_Incertae_sedis; s__Atheliales_sp; sh__SH1456038.09FU
9c2324a1065f2d13286d29b007c34d4f1a209cd7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.0	0.0	35.0	0.0	0.0	0.0	0.0	29.0	62.0	0.0	0.0	0.0	0.0	36.0	316.0	0.0	0.0	0.0	0.0	29.0	0.0	428.0	0.0	853.0	0.0	231.0	0.0	23.0	33.0	107.0	0.0	47.0	0.0	69.0	405.0	0.0	0.0	113.0	0.0	31.0	0.0	206.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Russula; s__Russula_sp; sh__SH1927992.09FU
b8186d42bab3228e84591b0519e6e58641636aad	36.0	56.0	0.0	17.0	79.0	26.0	6.0	22.0	40.0	99.0	17.0	12.0	40.0	94.0	29.0	12.0	24.0	86.0	6.0	32.0	81.0	15.0	12.0	70.0	37.0	36.0	13.0	8.0	28.0	29.0	23.0	14.0	18.0	41.0	90.0	19.0	181.0	32.0	59.0	66.0	63.0	104.0	123.0	26.0	315.0	127.0	108.0	42.0	42.0	36.0	12.0	9.0	52.0	31.0	22.0	20.0	0.0	61.0	26.0	8.0	9.0	18.0	5.0	0.0	36.0	19.0	8.0	19.0	3.0	15.0	0.0	14.0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Exophiala; s__Exophiala_sp
cf65c21df7ea0f94563962e5b59290b7d332f553	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	655.0	0.0	0.0	0.0	0.0	9.0	0.0	31.0	17.0	0.0	0.0	0.0	1728.0	0.0	339.0	0.0	0.0	0.0	137.0	0.0	38.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Russula; s__Russula_sp; sh__SH1675901.09FU
274a10d09189c26fdc4c6b6be39a61275b3ede47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1979.0	0.0	548.0	56.0	0.0	0.0	5.0	0.0	323.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Russula
be5255f9fb42b64df755d7ac2a169e1da5073d48	23.0	20.0	37.0	46.0	0.0	36.0	7.0	8.0	7.0	120.0	18.0	62.0	0.0	257.0	0.0	0.0	14.0	0.0	11.0	0.0	36.0	17.0	9.0	0.0	79.0	0.0	0.0	10.0	66.0	0.0	0.0	0.0	0.0	0.0	68.0	34.0	95.0	95.0	0.0	18.0	78.0	24.0	0.0	20.0	47.0	21.0	0.0	32.0	94.0	84.0	20.0	69.0	26.0	18.0	7.0	0.0	42.0	141.0	22.0	0.0	17.0	142.0	90.0	30.0	66.0	215.0	15.0	151.0	35.0	73.0	19.0	61.0	k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_sp
