#OTUID	taxonomy	Confidence
a4f2b1164483aef2ffa853aa9911a21e7a9992ee	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Bankeraceae;g__Hydnellum;s__Hydnellum_concrescens;sh__SH1762795.09FU	0.9999892084144839
4d6b20acffdb9ead00e5b215995cdb49288c5657	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__Inocybe_sp	0.8917594781839684
28bdc0db39e2ad9a42020d76d1db769deb8d6158	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Sebacinaceae;g__Sebacina;s__Sebacina_sp;sh__SH2075983.09FU	0.8634079068777191
ff27ed0e2e46d56f63c2fd720690666aa71b2133	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__Russula_sp;sh__SH1694077.09FU	0.9991795282303314
c7c6fd1422977a04ad6a31a7f99d81eb05a94fa2	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Tricholoma;s__Tricholoma_equestre;sh__SH1847739.09FU	0.9999960846387578
916f5d67394c3626987119d92dc757fd73968a68	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__Amanita_sp;sh__SH1687895.09FU	0.957364109667837
b9ec1a3ff97352562ca2a98c5c609dcda32466e4	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Tricholoma;s__Tricholoma_sp;sh__SH1847667.09FU	0.9999759993234345
536fb1f4037af6d44806970697e2196dc8f0dd98	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__Inocybe_sp;sh__SH2075569.09FU	0.9947858579573065
4dbb09b9c8f45dbd458d146f5aefb07318294c75	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__Russula_sp	0.9372054197428791
38d5f5d692a2c2b7c14730526bbf22085684f87b	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__Inocybe_sp;sh__SH1822895.09FU	0.9972006702103241
34020b44167646a2f5c2aab28a50be04e569df66	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricales_fam_Incertae_sedis;g__Agaricales_gen_Incertae_sedis;s__Agaricales_sp;sh__SH1844211.09FU	0.9961873304090678
7aac6ab87fa083c31ec83501f23baa1ce16bb366	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Cladophialophora;s__Cladophialophora_sp	0.999996693472533
7280455562e5875d27516ab25f98ba2d247e47c7	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__Russula_sp;sh__SH1929260.09FU	0.9999401047007284
50166c18e0fe97b5a7b50177a7a1860c23ec534e	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__Inocybe_sp;sh__SH1410210.09FU	0.9999999984223821
bc3b738abfc31b9374e3e2d5e9d62c2b74d71b94	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__Inocybe_sp;sh__SH1410094.09FU	0.958135847273257
01c082dbfb87bd9becba7585eb9e676425ef163b	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;g__Pachyphlodes;s__Pachyphlodes_sp;sh__SH1963777.09FU	0.7073528119746569
f79b923e7741c47703586c2f2cd46e3483afc55a	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Humaria;s__Humaria_sp	0.971146874341139
be5255f9fb42b64df755d7ac2a169e1da5073d48	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_sp	0.9044522736889645
638d88c3df67b76cc012bce3121cf8544c8fab5a	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Tylosporaceae;g__Tylospora;s__Tylospora_sp;sh__SH1958744.09FU	0.87055866585085
b7154403eaad20de863bc725895678c80674b715	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Gloniales;f__Gloniaceae;g__Cenococcum;s__Cenococcum_sp;sh__SH1541508.09FU	0.7900099085809419
